session_id	item_id_seq	item_id
0	0 1 2	3
1	5 3 2 6 7	1
2	9 10 11 12 13 14 15 16	17
3	1 19 20 0	21
4	1 22 21	23
5	12 25 6 26 27 28 29	30
6	32 33 34	35
7	37 38 39 40	41
8	32 43 1 13	12
9	21 1 5 45	2
10	2 3 46 47	48
11	49 50 51 52 53 54 55 56 57	58
12	0 2 5 60 19 22 1 61 48 62 63 64 65	66
13	12 68 69	14
14	70 71 72 49 6 73 74 56 75 76 77 78	79
15	52 80 81 82 71 83 84 85 86 87 88 9 89 17 90 91 92 93 94 95	10
16	46 32 2 70 12 44 96 97 90 98 24	4
17	99 100 101 102	93
18	93 6 55 37 103	59
19	12 105 106 107	108
20	22 21 0 20 2 19 109 110 111	1
21	71 22 111	113
22	1 19 20 3 2 0 114 24 115 7	6
23	44 12 106	116
24	113 30 28 117 118	119
25	97 32 9	121
26	122 17 123 82 124 77 96	125
27	2 70 66	17
28	21 1 60 116	128
29	129 130 1	70
30	5 0 1 131 2 12	132
31	133 10 2	3
32	93 103 130	134
33	2 3 22 1 17 136 104 113 137 26 130 7 87 138 43 97 88 70 133	139
34	6 37 27	140
35	6 70 97	96
36	142 103 7 120 143 66	6
37	6 145 104 79 35 47 146 71 55 147 27 96 148 149 142 140	136
38	151 144 152	153
39	151 1 21 2	6
40	12 154 152	2
41	22 104 136 4 39 38 1 156 130 6 2 129 157 142 158	159
42	2 37 87 160 96 1 104 97 59 161 162 163 136 164 165 166 167 168	169
43	3 2 1	0
44	171 32 43 130 39	142
45	2 5 61	172
46	6 173 174 35	33
47	124 176 144 98	118
48	42 39 37 144 68 86 96 93 177 69 178	179
49	77 30 104 96 139 181 159 31	148
50	22 39 2	3
51	59 9 121 96 15	86
52	124 183 184 185 38 43 6 37 186 187 122 176 188 143	59
53	161 59 111 104 66 142	151
54	22 7 17 12	190
55	134 192 161 193 93 6 99 194	195
56	159 196 197 27	198
57	199 200 201 202 203 86 182 204 205 180 206 27 34 207 208 209 210 211 212 150 158 135 213 149 214 79 93 215 111 163 216 217 26 103 144 218 219 43 179 39 41 124 185 220 171 221	222
58	224 21 225 120 155	147
59	171 90 6 142 4 97 70 66 13 32	226
60	32 227 66	1
61	46 172 1 2 228	109
62	114 93 229 7 151 37 213	230
63	61 232 233	234
64	86 195 181 81	4
65	136 236 121 7 237	238
66	239 240 241 2 242 182 104 55 155 133 243 167 244 160 245	87
67	2 3 5	13
68	1 21 0 2	73
69	182 104 247 51	248
70	2 1 249	8
71	96 118 165 250 251 252 49 253 120 202 254 255	178
72	97 70 87 90	256
73	257 258 120 82	117
74	2 3 5 1 260 175	37
75	22 60 86 1 2 3	132
76	97 7 1 2 21	5
77	22 38 68 261 179	69
78	97 70 129 113	69
79	19 20 2 68	69
80	6 181 96	236
81	25 44 133 4 1 172 138	106
82	75 127 263 44	9
83	4 90 2 21	264
84	104 136 247	30
85	266 1 130	129
86	1 7 0	172
87	267 6 13 70	23
88	96 229 43 161 39 137 42	268
89	1 46 5 2	3
90	7 133 114	93
91	88 32 270	271
92	15 70 171	256
93	96 39 144	273
94	1 0 21 2	3
95	131 25 12	154
96	123 13 88	275
97	1 32 97 4	156
98	81 16 96 162	163
99	12 172 25	21
100	5 115 2 3	46
101	121 269 1 2	12
102	96 99 124 137 121 151 16 93 98 278 231 114	113
103	151 44 12	4
104	43 6 118 120 22	130
105	103 122 124 270 114 2	66
106	77 281 225	159
107	121 271 21	82
108	37 80 100	71
109	282 240 229 104 99 59	55
110	283 209 172 284	6
111	234 124 52	81
112	2 3 62 285	286
113	1 0 2 3 156	4
114	96 71 26 198	89
115	6 130 30 129	136
116	32 16 1 22 133	71
117	23 265 264 115 6 12 128 44	127
118	2 27 289 6 21	64
119	6 30 142	175
120	1 21 3	2
121	130 22 127 6 66 121 236 44 12 106	5
122	118 151 120 6 142	291
123	22 225 152 67 94	167
124	22 111 1	293
125	1 96 6 155 30 77 104 284 136 139 250 294 121	295
126	15 89 189 96	129
127	23 225 22 21 2 5 3 37 0 298 61 115 109 299 57 275	260
128	6 59 136 134 158 64 301	66
129	195 100 5 55 161 86 139 302 6 115 232 233 59 121 152	240
130	7 12 106 154 1	46
131	164 55 304 96 305 115 306 1 39 68 307	25
132	158 64 1 135	308
133	274 104 55 37	262
134	133 130 70	7
135	2 115 21 0	116
136	134 309 93 6 37 142	103
137	12 1 2 234 22	21
138	171 15 310	59
139	3 19 2 5	68
140	71 96 66 21 5	68
141	130 88 1 0	2
142	164 142 104 26 239 228 86 210	77
143	141 24 6	98
144	97 70 133	4
145	283 114 93 80 142 71 43 55 311 312 39 16 151 118 136 139 6 77 11 29	228
146	104 136 144 55 233 313 277 232	247
147	12 131 25 154 86	32
148	12 66 14	263
149	96 8 44 256 21 5 288	123
150	1 118 96 162 198 120 6 147	289
151	5 61 40 1	64
152	20 154 12 114	106
153	226 171 130	13
154	38 162 168 124	113
155	16 22 114 270	1
